module_id,module_size,hpo_term,a_in_module_with_term,b_in_module_without_term,c_bg_with_term,d_bg_without_term,p_value,odds_ratio,freq_in_module,freq_in_bg,specificity_ratio,q_value,fdr_significant
16,10,HP:0000359,10,0,8,424,6.182064354694934e-16,inf,1.0,0.018518518518518517,54.0,2.2016825684264416e-15,True
16,10,HP:0100753,10,0,8,424,6.182064354694934e-16,inf,1.0,0.018518518518518517,54.0,2.2016825684264416e-15,True
10,23,HP:0033108,13,10,4,415,7.551938998997576e-16,134.875,0.5652173913043478,0.00954653937947494,59.20652173913043,2.666162811820014e-15,True
12,16,HP:0002084,15,1,30,396,1.7851026806438025e-15,198.0,0.9375,0.07042253521126761,13.3125,6.141963460520202e-15,True
12,16,HP:0011815,15,1,30,396,1.7851026806438025e-15,198.0,0.9375,0.07042253521126761,13.3125,6.141963460520202e-15,True
12,16,HP:0034237,15,1,30,396,1.7851026806438025e-15,198.0,0.9375,0.07042253521126761,13.3125,6.141963460520202e-15,True
10,23,HP:0000124,14,9,8,411,2.2009640859198318e-15,79.91666666666667,0.6086956521739131,0.01909307875894988,31.880434782608695,7.509171587255897e-15,True
5,26,HP:0007730,17,9,17,399,2.6619601754844856e-15,44.333333333333336,0.6538461538461539,0.040865384615384616,16.0,9.006298593722508e-15,True
1,56,HP:0002936,18,38,3,383,4.743669838129245e-15,60.473684210526315,0.32142857142857145,0.007772020725388601,41.35714285714286,1.5916776481656803e-14,True
10,23,HP:0002331,11,12,1,418,5.6877435776868024e-15,383.1666666666667,0.4782608695652174,0.002386634844868735,200.3913043478261,1.8473791140326735e-14,True
10,23,HP:0004389,11,12,1,418,5.6877435776868024e-15,383.1666666666667,0.4782608695652174,0.002386634844868735,200.3913043478261,1.8473791140326735e-14,True
10,23,HP:0020120,11,12,1,418,5.6877435776868024e-15,383.1666666666667,0.4782608695652174,0.002386634844868735,200.3913043478261,1.8473791140326735e-14,True
10,23,HP:0032036,11,12,1,418,5.6877435776868024e-15,383.1666666666667,0.4782608695652174,0.002386634844868735,200.3913043478261,1.8473791140326735e-14,True
